"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2007-Q4","Q4-2007","PC","Percentage","0","Units",,,-1.60755812441147,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2008-Q1","Q1-2008","PC","Percentage","0","Units",,,-4.00234189624918,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2008-Q2","Q2-2008","PC","Percentage","0","Units",,,-4.61069956899393,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2008-Q3","Q3-2008","PC","Percentage","0","Units",,,-3.71826391553215,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2008-Q4","Q4-2008","PC","Percentage","0","Units",,,-5.8761220414501,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2009-Q1","Q1-2009","PC","Percentage","0","Units",,,-12.7116931337112,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2009-Q2","Q2-2009","PC","Percentage","0","Units",,,-16.9947477483386,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2009-Q3","Q3-2009","PC","Percentage","0","Units",,,-14.0875976319942,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2009-Q4","Q4-2009","PC","Percentage","0","Units",,,-7.79771590570761,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2010-Q1","Q1-2010","PC","Percentage","0","Units",,,2.30837477384444,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2010-Q2","Q2-2010","PC","Percentage","0","Units",,,10.0921486764973,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2010-Q3","Q3-2010","PC","Percentage","0","Units",,,7.21938313896533,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2010-Q4","Q4-2010","PC","Percentage","0","Units",,,7.23215772606713,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2011-Q1","Q1-2011","PC","Percentage","0","Units",,,5.94794868970489,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2011-Q2","Q2-2011","PC","Percentage","0","Units",,,1.11692397817361,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2011-Q3","Q3-2011","PC","Percentage","0","Units",,,6.73910133676302,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2011-Q4","Q4-2011","PC","Percentage","0","Units",,,5.52509521618002,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2012-Q1","Q1-2012","PC","Percentage","0","Units",,,5.18833149973344,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2012-Q2","Q2-2012","PC","Percentage","0","Units",,,6.84084016106476,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2012-Q3","Q3-2012","PC","Percentage","0","Units",,,0.539765447378306,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2012-Q4","Q4-2012","PC","Percentage","0","Units",,,-0.959112103406082,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2013-Q1","Q1-2013","PC","Percentage","0","Units",,,0.743268620801817,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2013-Q2","Q2-2013","PC","Percentage","0","Units",,,2.50026483954316,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2013-Q3","Q3-2013","PC","Percentage","0","Units",,,2.463264335902,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2013-Q4","Q4-2013","PC","Percentage","0","Units",,,4.15031222931371,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2014-Q1","Q1-2014","PC","Percentage","0","Units",,,2.17910548932657,,
